99.9,100.1
100,99.998
99.9,100.1
99.8,100.1
99.9,100.2
99.9,100.2
99.8,100.3
99.9,100.4
99.8,100.5
99.7,100.6
99.6,100.7
99.7,100.8
99.8,100.7
99.7,100.6
99.8,100.5
99.899,100.6
99.999,100.7
100.1,100.8
100.1,100.9
100.2,100.8
100.2,100.8
100.1,100.8
99.999,100.8
100.1,100.9
100.2,101
100.3,100.9
100.3,100.9
100.4,101
100.4,101
100.3,100.9
100.2,100.8
100.1,100.7
100.2,100.6
100.2,100.6
100.1,100.6
99.999,100.7
99.899,100.8
99.799,100.9
99.898,100.8
99.998,100.8
99.998,100.9
99.998,100.8
99.998,100.9
99.998,101
99.998,100.9
100.1,101
99.998,100.9
100.1,100.8
100.1,100.7
100.2,100.7
100.1,100.7
99.998,100.6
100.1,100.5
100.1,100.6
100.2,100.7
100.2,100.6
100.3,100.5
100.4,100.5
100.5,100.6
100.6,100.7
100.7,100.7
100.8,100.6
100.7,100.7
100.6,100.8
100.5,100.7
100.6,100.7
100.7,100.6
100.8,100.6
100.9,100.5
100.8,100.6
100.8,100.5
100.8,100.4
100.8,100.5
100.9,100.5
101,100.5
100.9,100.5
100.9,100.5
101,100.6
101,100.7
100.9,100.8
100.8,100.7
100.7,100.7
100.6,100.6
100.6,100.7
100.6,100.8
100.7,100.8
100.8,100.7
100.9,100.6
100.8,100.7
100.8,100.6
100.9,100.7
100.8,100.7
100.9,100.7
101,100.6
100.9,100.7
101,100.7
100.9,100.6
100.8,100.6
100.7,100.6
100.7,100.6
100.7,100.7
100.6,100.8
100.5,100.7
100.6,100.6
100.7,100.6
100.6,100.7
100.5,100.8
100.5,100.8
100.6,100.8
100.7,100.9
100.7,100.8
100.6,100.7
100.7,100.8
100.8,100.9
100.7,101
100.7,101.1
100.6,101.2
100.6,101.2
100.5,101.3
100.6,101.4
100.5,101.4
100.4,101.5
100.5,101.61
100.5,101.71
100.5,101.71
100.5,101.81
100.5,101.91
100.6,102.01
100.7,102.12
100.8,102.12
100.7,102.22
100.7,102.32
100.6,102.32
100.7,102.22
100.8,102.32
100.8,102.32
100.7,102.42
100.6,102.42
100.7,102.32
100.6,102.42
100.7,102.52
100.7,102.52
100.7,102.42
100.6,102.42
100.7,102.42
100.7,102.32
100.6,102.32
100.6,102.42
100.6,102.42
100.6,102.32
100.7,102.42
100.8,102.52
100.7,102.63
100.6,102.63
100.6,102.63
100.7,102.52
100.8,102.52
100.8,102.63
100.8,102.63
100.9,102.73
100.8,102.73
100.7,102.83
100.8,102.73
100.9,102.63
101,102.52
101.1,102.63
101.2,102.73
101.2,102.83
101.3,102.93
101.4,102.83
101.4,102.83
101.5,102.93
101.61,103.04
